target_id	length	eff_length	est_counts	tpm
YDR414C	1089	816.956	1376	29.2497
YDR415C	1125	847.879	1747	35.7817
YDR416W	2580	2319.13	2549	19.0874
YDR417C	372	116.871	1036.53	154.019
YDR418W	498	218.924	2887.63	229.06
YDR419W	1899	1633.55	2289	24.3341
YDR420W	5409	5136.29	2900	9.80506
YDR421W	2853	2584.14	844	5.67189
YDR422C	2448	2177.33	6885	54.9138
YDR423C	1230	950.278	5587	102.101
YDR424C	279	61.7398	565	158.923
YDR425W	1878	1603	5300.78	57.426
YDR426C	378	121.31	800.999	114.667
YDR427W	1182	905.669	7521	144.214
YDR428C	786	500.718	1560	54.1045
YDR429C	825	539.281	4883	157.244
YDR430C	2970	2703.28	9605	61.7033
YDR431W	312	78.9935	15	3.29763
YDR432W	1245	940.992	26612.2	491.13
YDR433W	441	169.9	7448.79	761.366
YDR434W	1605	1328.08	8027	104.961
YDR435C	987	702.894	2206	54.5027
YDR436W	2133	1844.72	3877	36.4978
YDR437W	423	155.277	809	90.4782
YDR438W	1113	835.162	6781	141.002
YDR439W	1044	761.382	1346	30.7004
YDR440W	1749	1480.12	910	10.6769
YDR441C	546	264.11	1146	75.3533
YDR442W	393	132.273	180.618	23.7133
YDR443C	4263	4002.64	1306.38	5.66794
YDR444W	2064	1776.3	931	9.10198
YDR445C	408	143.523	405	49.0044
YDR446W	909	626.471	329	9.12004
YDR447C	411	145.884	2156.35	256.693
YDR448W	1305	1023.64	4653	78.9386
YDR449C	1323	1054.71	2779	45.7569
YDR450W	441	169.9	2855.25	291.845
YDR451C	1062	779.466	313	6.97347
YDR452W	2025	1749.58	8938	88.7173
YDR453C	591	298.971	2199	127.732
YDR454C	564	281.238	1945	120.101
YDR455C	309	77.2207	159.754	35.927
YDR456W	1902	1629.82	4116.25	43.8594
YDR457W	9807	9637.11	2215	3.99143
YDR458C	1992	1720.97	2296	23.1687
YDR459C	1125	848.336	1685	34.4932
YDR460W	966	683.328	2440	62.0101
YDR461W	111	36.5754	324	153.836
YDR461C-A	243	46.6086	1626	605.838
YDR462W	444	172.347	6460	650.925
YDR463W	1560	1277.02	16304	221.717
YDR464W	4308	4053.08	5740	24.594
YDR464C-A	189	33.4855	0	0
YDR465C	1239	954.803	2150	39.1045
YDR466W	2697	2427.2	1830.76	13.0987
YDR467C	327	87.9696	113.241	22.355
YDR468C	675	389.594	1147	51.1273
YDR469W	528	246.996	495	34.8031
YDR470C	1509	1228.1	9050	127.973
YDR471W	411	145.884	4835	575.559
YDR472W	852	564.095	1839	56.615
YDR473C	1410	1143.07	2026	30.7801
YDR475C	2631	2358.86	5786	42.5969
YDR476C	675	384.201	3641	164.575
YDR477W	1902	1620.3	5868	62.8921
YDR478W	597	314.669	410	22.6273
YDR479C	1665	1379.3	2551	32.1184
YDR480W	972	683.018	2087	53.063
YDR481C	1701	1413.65	12289	150.965
YDR482C	408	143.523	1992	241.029
YDR483W	1329	1047.47	11792	195.501
YDR484W	1926	1659.89	1853	19.3864
YDR485C	2388	2128.33	3940	32.1483
YDR486C	690	403.775	2588	111.308
YDR487C	627	340.233	7741	395.114
YDR488C	1602	1310.89	2081	27.5682
YDR489W	885	596.543	1978	57.5819
YDR490C	2301	2025.72	9462	81.1159
YDR491C	492	213.397	623	50.6993
YDR492W	951	671.39	7214	186.596
YDR493W	372	116.871	1082	160.776
YDR494W	1086	805.963	8886	191.467
YDR495C	3036	2805.99	1582	9.79088
YDR496C	1971	1705.1	2875	29.2812
YDR497C	1755	1469.73	8103	95.7439
YDR498C	1152	867.975	4253	85.0922
YDR499W	2244	1980.71	2145	18.8065
YDR500C	267	55.9435	1943	603.149
YDR501W	1566	1291.9	2516	33.8209
YDR502C	1155	866.617	21489.6	430.629
YDR503C	825	546.122	1476	46.9352
YDR504C	384	125.803	476	65.7079
YDR505C	2526	2248.61	4259	32.8924
YDR506C	1827	1542.49	817	9.19815
YDR507C	3429	3172.38	643	3.51987
YDR508C	1992	1702.6	12607.8	128.596
YDR509W	348	100.993	397.201	68.3
YDR510W	306	75.4986	3490	802.765
YDR510C-A	117	33.7229	218	112.262
YDR511W	402	139.004	2588	323.325
YDR512C	564	281.238	1254	77.4327
YDR513W	432	162.298	6547	700.537
YDR514C	1452	1175.16	1111	16.418
YDR515W	1344	1057.61	2392	39.277
YDR516C	1503	1215.89	17658	252.203
YDR517W	1119	822.833	2369	49.9983
YDR518W	1554	1282.01	1752	23.7326
YDR519W	408	143.523	826	99.9447
YDR520C	2319	2067.06	4068.43	34.1802
YDR521W	336	93.1651	323.574	60.3145
YDR522C	1509	1241.15	1899	26.5707
YDR523C	1473	1190.74	1050	15.3135
YDR524C	1449	1173.66	3896	57.647
YDR524W-C	90	40.1789	1067	461.177
YDR524C-B	201	35.8104	11383	5520.14
YDR524C-A	120	33.6798	32.1636	16.5843
YDR525W	330	89.6847	437.836	84.7804
YDR525W-A	240	45.4193	1604	613.29
