"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"YBL108W",32.7599181143819,1.59401170628421,0.483007210569513,1.19130720973253e-06,3.25014826498516e-06
"YJR027W",153.434905100443,1.52439019277805,0.49560034924277,2.98214493389128e-06,7.7055422788466e-06
"YMR103C",2980.71163120679,1.06194795527645,0.0673341775895665,6.08746601604315e-58,7.24408455909135e-56
"YOR388C",15337.4763172887,6.00365435884181,0.112126786717147,0,0
"YDL238C",1205.58445013327,1.33225673758915,0.0779282552393896,3.015833720444e-68,5.80547991185471e-66
"YIL121W",11458.2872384442,1.28672826686389,0.0986138790909298,1.53326679911007e-41,7.27190666679377e-40
"YLR258W",35079.7813706766,2.15476746891925,0.11150633453116,2.77323382628143e-85,1.39621656869323e-82
"YPL247C",15688.629788961,1.38043963268642,0.0801334390153017,2.87950298466171e-69,6.28211567820363e-67
"YGR248W",4364.4562516185,1.84675086563456,0.109180730651459,2.91103917256698e-66,5.1493922660678e-64
"YMR304W",3866.59151236161,1.16406082504599,0.0697803333169753,9.09602410440676e-65,1.52649942982929e-62
"YMR261C",12155.286593424,1.34467158554564,0.0852981714514508,1.01403881372581e-58,1.25224227091234e-56
"YDR171W",48633.885740477,1.88934336518882,0.11327369173188,1.68030148638246e-64,2.7493933070933e-62
"YBR139W",4857.27697690487,1.42647322982575,0.0927749847351997,4.12279185289649e-56,4.49727877953459e-54
"YOR049C",2329.07386132711,1.19296598155075,0.0931818616161968,6.61904639417202e-40,2.88811057665706e-38
"YCL051W",3229.71535279616,1.13524956307102,0.0705976493233733,2.27613299104587e-60,3.10360217216567e-58
"YBR126C",42049.6094795257,1.33707284654696,0.0844865335225993,3.89831395117154e-59,5.00283623733681e-57
"YGR249W",1267.56974056076,1.83587817655048,0.0990234825884652,8.24818953210817e-79,2.99913336042489e-76
"YBR059C",5834.7546618854,1.26445454424809,0.0838352169843791,5.42084749128422e-54,5.29543982544108e-52
"YPL006W",5058.80775298285,1.23659458989189,0.0825371485097674,2.90979677521033e-53,2.60885204023994e-51
"YEL041W",1867.05432836776,1.72242984763637,0.117282092423668,3.91045475402784e-51,3.23973751457116e-49
"YMR320W",1095.85356437312,1.82912108976986,0.113423642796883,1.28127328293325e-60,1.78424119931875e-58
"YPL014W",5974.57142434069,2.24899489564053,0.182464009669205,2.72972743294298e-37,9.50322662160203e-36
"YBL088C",1697.47465706159,1.10642613789483,0.0877394316326901,1.55339732536029e-38,6.12469005691754e-37
"YOL032W",3206.71513499519,1.1657936339561,0.11850260265542,4.07721475378966e-25,5.89081027893009e-24
"YFR015C",7747.0206953222,2.29171476692581,0.138816804576772,1.28113732058187e-63,1.95001017749031e-61
"YGR142W",13503.0531089848,1.38227873996593,0.137179184455503,1.32280453529852e-26,2.15904131758823e-25
"YJR151C",1257.72010774625,1.4035631141423,0.13270108989112,6.95145876727279e-29,1.33815581270001e-27
"YNR068C",851.922892668946,1.36266411530071,0.113387680772658,5.35956404916143e-36,1.72799737447101e-34
"YGR099W",1161.36012266506,1.10657619779129,0.0743359867020533,3.39169238237744e-52,2.95981688568805e-50
"YLR086W",1171.45954232017,1.21399149498224,0.109601233007712,5.99838612215237e-31,1.35377369549956e-29
"YPL165C",1313.67479962321,1.10752830088666,0.0947945900200412,1.28869524291434e-33,3.52908383467546e-32
"YBR117C",4753.31623960598,1.26616589202105,0.0708774334499504,5.59722227551527e-74,1.4653527917299e-71
"YJL081C",1688.81471873984,1.18754798246168,0.118434545260572,5.19323260059708e-26,8.11210199783005e-25
"YNR069C",1227.57752621263,1.34744628134364,0.133808280375837,1.51368632082083e-26,2.45833175428594e-25
"YML004C",29923.0019208069,1.00590459913721,0.070125672836599,2.34178460673599e-48,1.64806239259001e-46
"YHR104W",14444.4045625805,1.27808484672744,0.124110818259022,1.86101778104629e-27,3.256781116831e-26
"YIL124W",1040.86926664082,1.20903817355898,0.134168599540118,8.03348761103883e-22,8.77782577867265e-21
"YJL214W",393.086345786046,1.10921729140327,0.129247998234249,7.69968206390131e-20,7.38921101293755e-19
"YER160C",3943.3134773431,1.12712832342494,0.128979435308298,1.68734206464448e-20,1.67836684089637e-19
"YNL257C",1847.31529035038,1.19887396388704,0.0883756007618987,2.54133960116947e-44,1.43388514565984e-42
"YMR169C",8975.42981203965,2.02768311773805,0.121922904672909,4.1188404176639e-64,6.57507573990493e-62
"YGR254W",154989.250008735,1.52780878122328,0.175144086191392,5.46284398456973e-21,5.7024424049456e-20
"YDR124W",1229.35162820687,1.0571910989613,0.0843693639354322,6.54428786942988e-38,2.40631259019205e-36
"YPR116W",298.327252460851,1.31384985535856,0.144399142940433,2.10811330565054e-22,2.40795839188181e-21
"YER067W",8079.50174594209,1.44613527833171,0.217567246174799,5.84981262517259e-14,3.33801426606405e-13
